property_id,property_name,address,city,state,zip_code,property_type,total_units,year_built,monthly_rent_base,amenities,property_manager,acquisition_date,status
PROP0073,Hampton Heights,649 Medina Courts Apt. 692,Aurora,IL,31550,Condo,7,1986,2352,Parking,Michelle Gonzalez,2021-07-30,Active
PROP0074,Tate Commons,98322 Laura Streets Apt. 247,Evansville,IN,08944,Condo,10,1986,1135,"Pool, Parking, Gym",Jordan Mckenzie,2012-07-03,Active
PROP0075,Miller Manor,6859 Elizabeth Summit Suite 327,Milwaukee,WI,45121,Townhouse,1,2011,1081,"Pool, Gym",Zachary Bowers,2024-01-07,Active
PROP0076,Stewart Park,3248 Patterson Squares Apt. 608,Cleveland,OH,10264,Single Family,1,1979,1777,Gym,James Bradley,2011-08-04,Active
PROP0077,Dunn Place,329 Baker Springs,Flint,MI,76380,Apartment,16,2019,2310,Gym,Misty Lewis,2012-08-04,Active
PROP0078,Jackson Heights,5036 Miller Fort Apt. 633,Ann Arbor,MI,15944,Townhouse,1,2007,905,Parking,Sharon Lawrence,2017-08-18,Active
PROP0079,Wolfe Park,5540 Myers Freeway,Joliet,IL,87678,Apartment,4,2014,3369,Gym,James Kaufman Jr.,2025-01-22,Active
PROP0080,Simmons Park,47340 Alvarez Station,Carmel,IN,72104,Single Family,1,2020,968,Parking,Natalie Gonzalez,2015-09-28,Active
PROP0081,Meadows Place,4189 Smith River Suite 421,Indianapolis,IN,62701,Duplex,22,1970,2520,"Pool, Parking, Gym",Alyssa Peters,2012-04-29,Active
PROP0082,Hernandez Manor,120 Randall Vista,South Bend,IN,69316,Apartment,15,2016,2937,Parking,Lauren Friedman MD,2013-09-19,Active
PROP0083,Miller Park,9711 James Cliff Suite 917,Kenosha,WI,28191,Condo,15,1987,2120,Gym,Christine Moreno,2023-11-14,Active
PROP0084,Walter Commons,7501 Lee Mall,Dearborn,MI,33228,Condo,9,2006,3299,"Pool, Parking, Gym",Terry Kirby,2013-10-15,Active
PROP0085,Barry Manor,74107 Sarah Forest Suite 930,Naperville,IL,79190,Apartment,17,1992,1858,Parking,Zachary Watson,2016-06-18,Active
PROP0086,Porter Park,55943 Patrick Track Suite 268,Green Bay,WI,71079,Duplex,2,1982,1150,Gym,John Beck,2018-12-17,Active
PROP0087,Lawrence Commons,3839 Price Port,Rockford,IL,79042,Apartment,24,2011,2810,"Pool, Parking, Gym",Elizabeth Brown,2024-03-15,Active
PROP0088,Williams Manor,6171 Ortiz Springs Suite 157,Dearborn,MI,26012,Apartment,14,1989,3182,Parking,Christopher Murray,2017-11-06,Active
PROP0089,Schultz Place,328 Kim Fords,Green Bay,WI,65046,Condo,19,1992,2658,Parking,Deborah Dunn,2024-04-13,Active
PROP0090,Downs Heights,499 Carrie Stravenue Apt. 624,Columbus,OH,08074,Apartment,12,2017,2994,Gym,Paula Johnson,2015-07-24,Active
PROP0091,Lopez Park,31358 Douglas Groves,Naperville,IL,29184,Duplex,18,1988,1211,Gym,Jacqueline Turner,2013-08-06,Active
PROP0092,Johnson Heights,5676 Glenn Route Suite 612,Fort Wayne,IN,99260,Townhouse,1,2015,2987,Gym,Jasmin Oconnor,2018-11-14,Active
PROP0093,Garcia Manor,01665 Robertson Points Suite 401,Flint,MI,70983,Townhouse,1,2010,2810,"Pool, Gym",Jeff Jacobson,2017-03-31,Inactive
PROP0094,Costa Commons,2551 Silva Flats Apt. 915,Green Bay,WI,81554,Condo,17,1991,1555,"Pool, Gym",Christina Adams,2012-11-11,Active
PROP0095,Jennings Commons,5084 Lori Oval,Chicago,IL,15262,Single Family,1,2001,1103,None,Caleb Trujillo,2012-05-10,Active
PROP0096,Herrera Place,311 Spencer Stravenue,Ann Arbor,MI,44260,Apartment,20,1975,1816,"Pool, Gym",Brandon Barton,2014-03-24,Active
PROP0097,Sweeney Manor,174 Moore Rue Suite 639,Rockford,IL,71974,Duplex,21,2019,2940,"Pool, Parking, Gym",Jennifer Young,2016-12-31,Active
PROP0098,Guerrero Place,1523 Miller Village Suite 297,Naperville,IL,05033,Duplex,15,2006,3343,"Pool, Gym",Dana Adams,2023-10-19,Active
PROP0099,Miller Heights,0995 Francis Turnpike,Ann Arbor,MI,10253,Apartment,10,1980,1782,Gym,Michael Buck,2020-07-24,Active
PROP0100,Thompson Park,9568 Williams Burg,Columbus,OH,53215,Condo,16,2000,1992,"Pool, Gym",Stephen Davis,2023-01-17,Active
